Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,163.50,164.880005,161.529999,162.029999,1432100,162.029999
2017-05-11,163.039993,164.289993,161.699997,163.820007,973600,163.820007
2017-05-10,162.00,163.279999,161.679993,162.899994,1447800,162.899994
2017-05-09,161.860001,163.479996,161.779999,162.649994,1280200,162.649994
2017-05-08,160.660004,162.130005,160.110001,161.75,1434800,161.75
2017-05-05,159.00,161.570007,158.240005,160.25,1603000,160.25
2017-05-04,157.789993,158.160004,155.320007,156.729996,1407100,156.729996
2017-05-03,158.220001,159.149994,156.639999,157.029999,970300,157.029999
2017-05-02,157.889999,158.820007,156.229996,158.380005,1050200,158.380005
2017-05-01,156.679993,158.470001,156.479996,157.520004,942700,157.520004
2017-04-28,155.720001,157.399994,152.889999,156.369995,1577700,156.369995
2017-04-27,157.210007,158.229996,155.899994,156.210007,727000,156.210007
2017-04-26,157.320007,158.619995,155.699997,156.929993,906000,156.929993
2017-04-25,155.470001,159.070007,155.470001,157.179993,1166400,157.179993
2017-04-24,156.410004,157.309998,155.50,155.960007,900300,155.960007
2017-04-21,155.210007,155.360001,153.940002,155.080002,970100,155.080002
2017-04-20,151.690002,156.210007,151.039993,155.380005,1755900,155.380005
2017-04-19,150.509995,152.339996,149.949997,151.949997,789500,151.949997
2017-04-18,151.169998,151.429993,149.100006,149.820007,1044400,149.820007
2017-04-17,150.669998,151.229996,150.25,151.169998,823800,151.169998
2017-04-13,150.25,151.070007,149.770004,150.410004,751200,150.410004
2017-04-12,150.899994,151.389999,149.869995,150.589996,787900,150.589996
2017-04-11,151.470001,151.860001,150.639999,151.570007,827900,151.570007
2017-04-10,152.009995,153.190002,151.570007,152.279999,1471100,152.279999
2017-04-07,151.100006,152.270004,150.039993,152.039993,1480200,152.039993
2017-04-06,149.910004,151.399994,148.75,151.210007,1502800,151.210007
2017-04-05,151.009995,152.00,149.429993,149.910004,1448800,149.910004
2017-04-04,149.070007,150.699997,148.75,150.539993,1222700,150.539993
2017-04-03,146.699997,151.00,146.699997,149.389999,1631000,149.389999
2017-03-31,147.509995,147.600006,146.490005,146.490005,1440100,146.490005
2017-03-30,147.550003,148.940002,147.139999,147.600006,804700,147.600006
2017-03-29,147.630005,148.520004,146.669998,147.229996,822500,147.229996
2017-03-28,146.020004,148.660004,145.550003,148.300003,919200,148.300003
2017-03-27,144.220001,146.360001,143.850006,146.039993,2003600,146.039993
2017-03-24,149.369995,150.410004,144.970001,145.820007,2123400,145.820007
2017-03-23,149.990005,151.360001,149.009995,149.179993,869600,149.179993
2017-03-22,150.080002,151.330002,148.339996,150.369995,1102900,150.369995
2017-03-21,151.779999,151.809998,149.289993,149.610001,1235800,149.610001
2017-03-20,152.160004,153.020004,150.710007,151.130005,1611700,151.130005
2017-03-17,151.529999,152.380005,150.889999,151.889999,1542400,151.889999
2017-03-16,153.990005,154.270004,151.600006,151.789993,1325600,151.789993
2017-03-15,154.279999,154.830002,153.490005,154.00,1442000,154.00
2017-03-14,152.970001,154.309998,152.330002,153.539993,1299300,153.539993
